# Passenger file autogenerated with: 
# 'python ..\..\scripts\make_passengers_file.py -e 3600 -o .\passengers.csv .\passengers_raw.csv'

# Total passengers: 240 arriving in 3600.0 seconds

# Origin-Destination Matrix (Origin on Y, Dest on X)
# -------------------------
#          0    1    2    3    4
#     0    0   12   12   12   12
#     1   12    0   12   12   12
#     2   12   12    0   12   12
#     3   12   12   12    0   12
#     4   12   12   12   12    0


# pID	origin	dest	time	load	unload
0	    2	    3	     1.571
1	    1	    0	     7.876
2	    0	    2	     8.321
3	    2	    1	    33.646
4	    3	    2	    41.421
5	    0	    3	    50.172
6	    2	    0	    66.318
7	    0	    3	    83.444
8	    2	    4	    96.285
9	    0	    3	   126.275
10	    4	    1	   140.557
11	    1	    2	   155.087
12	    0	    1	   157.334
13	    0	    1	   173.231
14	    4	    2	   184.439
15	    1	    2	   190.351
16	    2	    0	   195.542
17	    0	    2	   200.525
18	    2	    0	   203.801
19	    3	    4	   254.880
20	    0	    1	   327.959
21	    3	    0	   369.319
22	    1	    0	   372.605
23	    1	    4	   384.982
24	    3	    4	   417.414
25	    4	    3	   425.871
26	    2	    1	   439.407
27	    0	    4	   447.488
28	    1	    3	   451.110
29	    2	    3	   481.654
30	    1	    3	   481.945
31	    3	    4	   491.084
32	    3	    1	   492.110
33	    4	    1	   534.482
34	    2	    4	   536.310
35	    4	    3	   567.475
36	    0	    1	   587.637
37	    3	    4	   590.017
38	    4	    3	   622.638
39	    1	    2	   635.900
40	    2	    1	   645.733
41	    3	    4	   656.521
42	    4	    1	   661.807
43	    1	    0	   690.665
44	    1	    2	   706.871
45	    0	    1	   712.492
46	    2	    1	   720.143
47	    0	    1	   739.829
48	    3	    2	   781.823
49	    3	    0	   796.159
50	    0	    4	   802.119
51	    3	    2	   817.433
52	    4	    2	   828.747
53	    0	    2	   845.852
54	    2	    3	   861.808
55	    4	    1	   863.478
56	    1	    4	   866.445
57	    0	    1	   899.864
58	    4	    2	   956.075
59	    2	    4	   984.166
60	    2	    3	   989.279
61	    2	    4	   996.177
62	    2	    4	  1009.828
63	    4	    0	  1032.955
64	    2	    1	  1090.709
65	    4	    0	  1093.833
66	    0	    4	  1131.206
67	    0	    2	  1131.768
68	    3	    0	  1134.281
69	    1	    0	  1141.589
70	    2	    0	  1167.647
71	    2	    4	  1178.062
72	    1	    4	  1181.498
73	    2	    0	  1194.110
74	    2	    3	  1266.450
75	    3	    2	  1284.669
76	    0	    2	  1285.030
77	    0	    1	  1289.861
78	    4	    0	  1323.010
79	    4	    3	  1339.066
80	    0	    4	  1347.847
81	    0	    4	  1378.250
82	    1	    4	  1379.705
83	    2	    1	  1449.785
84	    0	    2	  1453.084
85	    1	    0	  1501.189
86	    3	    0	  1518.869
87	    1	    4	  1538.983
88	    0	    2	  1544.605
89	    3	    0	  1552.752
90	    3	    4	  1555.165
91	    0	    4	  1559.363
92	    1	    3	  1574.739
93	    4	    0	  1594.163
94	    2	    4	  1602.909
95	    2	    1	  1620.689
96	    3	    1	  1621.044
97	    4	    2	  1621.483
98	    4	    3	  1623.239
99	    0	    2	  1645.211
100	    4	    3	  1655.135
101	    1	    0	  1661.056
102	    3	    0	  1662.347
103	    1	    2	  1695.840
104	    1	    3	  1705.695
105	    3	    2	  1725.946
106	    4	    1	  1743.195
107	    3	    1	  1744.643
108	    4	    0	  1746.791
109	    0	    1	  1750.782
110	    4	    2	  1781.613
111	    2	    4	  1802.089
112	    0	    3	  1859.311
113	    4	    1	  1862.631
114	    3	    0	  1869.644
115	    2	    1	  1910.233
116	    1	    0	  1923.254
117	    1	    3	  1925.628
118	    3	    2	  1938.190
119	    3	    1	  1939.848
120	    0	    2	  1940.618
121	    3	    1	  1942.929
122	    0	    2	  1947.861
123	    0	    3	  1953.719
124	    2	    4	  1954.507
125	    2	    4	  1982.132
126	    4	    0	  1993.946
127	    2	    0	  1996.448
128	    3	    1	  1997.479
129	    4	    0	  1997.970
130	    1	    2	  2017.313
131	    3	    0	  2042.231
132	    2	    1	  2042.669
133	    1	    0	  2051.589
134	    3	    2	  2062.093
135	    3	    2	  2098.259
136	    1	    4	  2099.728
137	    1	    3	  2102.964
138	    4	    0	  2118.667
139	    2	    3	  2124.961
140	    2	    3	  2169.936
141	    2	    0	  2196.254
142	    4	    2	  2211.467
143	    2	    3	  2222.985
144	    4	    3	  2224.718
145	    1	    4	  2226.704
146	    1	    3	  2227.699
147	    1	    3	  2236.640
148	    2	    4	  2275.074
149	    3	    4	  2281.982
150	    0	    4	  2309.986
151	    0	    3	  2336.892
152	    3	    1	  2338.304
153	    1	    3	  2342.832
154	    1	    2	  2406.429
155	    2	    3	  2452.868
156	    4	    1	  2467.300
157	    4	    1	  2480.961
158	    0	    4	  2484.759
159	    2	    0	  2518.167
160	    0	    3	  2523.086
161	    4	    2	  2538.625
162	    3	    0	  2548.799
163	    1	    2	  2556.782
164	    4	    3	  2558.382
165	    0	    3	  2562.718
166	    3	    4	  2582.419
167	    0	    4	  2585.925
168	    0	    3	  2587.248
169	    4	    0	  2592.519
170	    3	    4	  2607.254
171	    2	    1	  2626.885
172	    0	    2	  2666.697
173	    3	    1	  2670.788
174	    1	    0	  2705.969
175	    1	    3	  2710.925
176	    4	    1	  2717.912
177	    0	    4	  2723.778
178	    4	    1	  2734.892
179	    1	    0	  2736.002
180	    3	    2	  2738.573
181	    4	    0	  2804.885
182	    1	    3	  2829.473
183	    4	    2	  2849.771
184	    3	    0	  2865.712
185	    4	    1	  2870.730
186	    3	    4	  2872.299
187	    0	    3	  2900.525
188	    3	    0	  2921.214
189	    3	    0	  2923.794
190	    4	    2	  2928.625
191	    1	    4	  2933.943
192	    0	    1	  2940.858
193	    0	    1	  2941.183
194	    4	    2	  2954.533
195	    4	    1	  2966.919
196	    1	    4	  2979.867
197	    1	    2	  3004.531
198	    3	    4	  3009.589
199	    4	    3	  3011.037
200	    4	    3	  3036.218
201	    0	    1	  3036.856
202	    2	    3	  3039.864
203	    1	    3	  3066.943
204	    4	    0	  3070.828
205	    3	    4	  3115.527
206	    3	    2	  3125.187
207	    2	    1	  3132.997
208	    3	    1	  3147.622
209	    1	    0	  3149.319
210	    4	    2	  3149.526
211	    2	    3	  3155.501
212	    2	    3	  3194.836
213	    2	    0	  3197.110
214	    2	    0	  3208.319
215	    3	    1	  3234.146
216	    1	    4	  3241.062
217	    3	    1	  3260.599
218	    1	    0	  3304.163
219	    1	    4	  3304.654
220	    0	    4	  3321.712
221	    4	    2	  3342.287
222	    0	    2	  3349.623
223	    1	    2	  3361.040
224	    3	    2	  3372.402
225	    0	    3	  3392.786
226	    0	    3	  3395.109
227	    4	    0	  3402.443
228	    3	    2	  3428.181
229	    1	    4	  3481.052
230	    2	    0	  3486.520
231	    2	    1	  3494.535
232	    3	    1	  3496.710
233	    1	    2	  3496.851
234	    1	    2	  3511.476
235	    4	    3	  3516.529
236	    2	    4	  3516.987
237	    2	    0	  3555.131
238	    0	    4	  3567.981
239	    4	    3	  3570.552
